id,title,state,number,labels,created_at,closed_at,merged_at,merge_commit_sha,seconds_old
476561487,[SELFP-1139] ms-email enhancement -Addition of new config for ms-email-recipient,open,726,"[Label(name=""enhancement""), Label(name=""semver-minor"")]","08/31/2020, 21:54:16",,,4251b87db0562babf0149c8c3fd4c59a9a79fede,14:33:07.878695
476324540,[HWC-657] Stacked Mega Menu,open,723,"[Label(name=""enhancement""), Label(name=""semver-minor"")]","08/31/2020, 14:10:58",,,01b77198ea805470fc004ec2cefc417dcc7d72eb,22:16:25.878731
476187379,[SELFP-1138] ms-email enhancement -Addition of new ui elements,open,722,"[Label(name=""enhancement""), Label(name=""semver-minor"")]","08/31/2020, 09:49:40",,,d435b633ba04afa4280979bcee4d993ead0f206f,"1 day, 2:37:43.878748"
475482478,[HWC-689] - Update stories no results to match designs,open,721,"[Label(name=""semver-bugfix"")]","08/28/2020, 15:47:18",,,67da1830929476bad812a41bca35535a0daaf5ee,"3 days, 20:40:05.878763"
475420695,[HWC-628] Remove Helix Responsive Table,open,720,"[Label(name=""enhancement"")]","08/28/2020, 13:54:46",,,d7ff546cdbfa3b837466ebc6a0a82983d44e4708,"3 days, 22:32:37.878778"
475338235,[HWC-688] - Update search results title to not show EM tags and remove bold,open,719,"[Label(name=""bug""), Label(name=""semver-bugfix"")]","08/28/2020, 11:00:38",,,815b412f2f3d7924db4aef18210d9b50c74449da,"4 days, 1:26:45.878792"
475014325,[SELFP-1145] added load config feature for PMAP,open,717,[],"08/28/2020, 00:12:42",,,a38bd2b3a3650e0dcaffcf3ad1847d368dc880f1,"4 days, 12:14:41.878809"
474878918,HWC-352: Helix Band with New Theming,open,716,"[Label(name=""next"")]","08/27/2020, 18:37:44",,,aade72eafba9c95b917b89e89983bf67fd8a76ca,"4 days, 17:49:39.878824"
474768598,HWC-359-Helix Feature with New Theming,open,714,"[Label(name=""next"")]","08/27/2020, 15:11:47",,,f43cbb71ae47915347825e4f67b0613db6fa78d7,"4 days, 21:15:36.878838"
474612398,[SELFP-1231] Added test cases for ePermissions,open,711,"[Label(name=""semver-minor"")]","08/27/2020, 10:43:02",,,643f07ad203eabb36c9d2e7a6562919a21baf45e,"5 days, 1:44:21.878877"
474117050,HWC-360- Helix Media Block with New Theming,open,708,"[Label(name=""next"")]","08/26/2020, 19:46:25",,,8997f7478338ea7c79cd9c118afcd89e2322a540,"5 days, 16:40:58.878894"
473260907,"HWC-349, HW-393, HWC-394-Helix Header, Helix Primary Nav, Helix Global Nav with New Theming",open,702,"[Label(name=""WIP"")]","08/25/2020, 14:49:43",,,160435d6779a6c52dfde66e93fc197fa3b5a8da5,"6 days, 21:37:40.878908"
470154250,HWC-641: Helix Page Header with New Theming,open,689,"[Label(name=""WIP""), Label(name=""next"")]","08/19/2020, 13:10:30",,,3a371d9aad89d506b083f1cc2b61b634e2ef66a2,"12 days, 23:16:53.878921"
468061780,HWC-350: Helix Footer with Theming,open,680,"[Label(name=""next"")]","08/14/2020, 15:59:23",,,6793d6b718cb63e1da928a82c0f85d01da1bb06f,"17 days, 20:28:00.878935"
467928902,HWC-546: Helix Stacked Block with New Theming,open,678,"[Label(name=""next"")]","08/14/2020, 11:21:52",,,c49504e83098bba4a68fb2d56bf67aa20754f215,"18 days, 1:05:31.878949"
467915958,HWC-391: Helix Heading with New Theming,open,677,"[Label(name=""next"")]","08/14/2020, 10:51:28",,,adc13a1b47bb6c044301ae5db94ddc75cc2c7c2e,"18 days, 1:35:55.878962"
467907918,HWC-361: Helix Link List with New Theming,open,676,"[Label(name=""WIP""), Label(name=""next"")]","08/14/2020, 10:32:19",,,f38ab70abcaee49605b50bdffc3301f5750fb1f5,"18 days, 1:55:04.878975"
467887851,HWC-362 Helix Logo with New Theming,open,675,"[Label(name=""WIP""), Label(name=""next"")]","08/14/2020, 09:48:51",,,7d6989b718ba5cf214e6503a2b02501369318805,"18 days, 2:38:32.878989"
467481568,Feature/shallow theming,open,674,"[Label(name=""WIP"")]","08/13/2020, 16:05:07",,,,"18 days, 20:22:16.879002"
467400765,[HWC-645] <helix-card> Theming refinements ,open,672,"[Label(name=""enhancement""), Label(name=""semver-major"")]","08/13/2020, 13:53:29",,,58103c344869e4055977a34f82adb4c7ec11674d,"18 days, 22:33:54.879017"
464779332,HWC-351: Helix Button Group with New Theming,open,665,"[Label(name=""WIP""), Label(name=""next"")]","08/07/2020, 19:22:46",,,c5ac676bf80756a633b633c3731fa688b13280db,"24 days, 17:04:37.879031"
464675766,HWC-364 Helix Section with New Theming,open,663,"[Label(name=""next"")]","08/07/2020, 15:46:50",,,c0cc0dcb2d2ad584669b065c3a551ea46cfd1799,"24 days, 20:40:33.879044"
464304593,[No Ticket] Add a way to not submit form-v2 to the service.,open,661,"[Label(name=""enhancement""), Label(name=""needs discussion""), Label(name=""semver-minor"")]","08/06/2020, 23:06:06",,,e3163f3e2caedd9d4e8f14d26d04601bcb3ea931,"25 days, 13:21:17.879058"
463278336,[HWC-499][d] helix-dropdown respin ,open,654,"[Label(name=""WIP"")]","08/05/2020, 09:58:13",,,35e1d8c0f836bec5e24be6597c5ef10828c1a74d,"27 days, 2:29:10.879071"
463232913,[HWC-87] Helix Calendar Work,open,653,"[Label(name=""WIP"")]","08/05/2020, 08:31:38",,,,"27 days, 3:55:45.879084"
459378165,[OPS] Theming refinements,open,641,"[Label(name=""enhancement""), Label(name=""semver-minor"")]","07/30/2020, 16:37:36",,,28f72a4acf2625c5430dc9e20152ce1d3ab01fea,"32 days, 19:49:47.879097"
457874051,[HWC-530] Slideshow,open,633,"[Label(name=""enhancement""), Label(name=""semver-major"")]","07/28/2020, 15:08:39",,,721d0160b5cc7c8767a2baef0334cbf63af3065e,"34 days, 21:18:44.879110"
447626211,[OPS] Update stencil to latest,open,590,"[Label(name=""enhancement"")]","07/10/2020, 20:17:31",,,4310353f9c923e33355ee032a436eb05d0e8e0fd,"52 days, 16:09:52.879122"
437819892,Feature/hwc 283 plop,open,556,"[Label(name=""enhancement""), Label(name=""semver-none"")]","06/22/2020, 09:49:19",,,aeaeaba0166dd6825cfb461e1b52f3fb6675c292,"71 days, 2:38:04.879135"
435767214,Fixing badge tests,open,543,"[Label(name=""awaiting secondary review""), Label(name=""question"")]","06/17/2020, 10:47:27",,,b9d8295adf1cc03b1cb15f3ac0cba332719f7b31,"76 days, 1:39:56.879147"
431854089,[HWC-339] Adding storyshots support,open,521,"[Label(name=""infrastructure""), Label(name=""needs discussion""), Label(name=""on-hold""), Label(name=""semver-none"")]","06/09/2020, 14:50:15",,,70dbfee6e1881aa1c1753262e706d097fb328ce6,"83 days, 21:37:09.377579"
428409842,[HWC-406] Remove logic to highlight title of search card,open,504,"[Label(name=""semver-major"")]","06/05/2020, 12:06:47",,,b09a780880ec3c435d99e564b803b75985dbb8e2,"88 days, 0:20:37.377617"
393469221,"Fixed SELFP-497, due to missing validators property in form config",open,395,"[Label(name=""semver-major"")]","03/25/2020, 09:11:54",,,8dd2a34915a2bba1d1388a0cbadf842276d2b5f7,"160 days, 3:15:30.377635"
